표지일련번호,표지종별,X좌표,Y좌표,표지판 근거리 이미지1,표지판 근거리 이미지2,표지판 근거리 이미지3,표지판 근거리 이미지4,표지판 근거리 이미지5,표지판 원거리 이미지1,표지판 원거리 이미지2,데이터기준일자
UR(서울특별시)-61[동부간선도로]-상-30,2지명이정표지,204928.07,449765.88,/2006-10-16/URC010061U/동부간선-11-근거리.jpg,,,,,/2006-10-16/URC010061U/동부간선-11-원거리.jpg,,2018-04-30
WR(서울특별시 영등포구)-[문래북로]-상-4,3방향표지,190706.35,446430.6,/2006-10-19/WRC0119이면도로U/sa500862.jpg,,,,,/2006-10-19/WRC0119이면도로U/sa500861.jpg,,2018-04-30
WR(서울특별시 영등포구)-[영신로]-상-6,3방향표지,191571.09,447728.15,/2015-07-17/WRC0119영신로U/29 (7) 근거리.jpg,,,,,/2015-07-17/WRC0119영신로U/29 (7) 원거리.jpg,,2018-04-30
WR(서울특별시 영등포구)-[문래북로]-하-2,3방향예고표지,190851.18,446401.26,/2006-10-19/WRC0119이면도로D/sa500858.jpg,,,,,/2006-10-19/WRC0119이면도로D/sa500857.jpg,,2018-04-30
WR(서울특별시 영등포구)-[여의나루로]-상-6,2방향표지,193935.62,447143.52,/2015-07-16/WRC0119여의나루로U/4 (184) 근거리.jpg,,,,,/2015-07-16/WRC0119여의나루로U/4 (184) 원거리.jpg,,2018-04-30
WR(서울특별시 종로구)-[양재천로]-하-1,2방향표지,203261,441415,/2006-11-08/WRC0122양재천길D/414.jpg,,,,,/2006-11-08/WRC0122양재천길D/415.jpg,,2018-04-30
WR(서울특별시 서초구)-[양재천로15길]-상-2,2방향표지,203249.83,441459.87,/2006-11-08/WRC0122양재천길U/410.jpg,,,,,/2006-11-08/WRC0122양재천길U/411.jpg,,2018-04-30
WR(서울특별시 서초구)-[양재천로15길]-하-5,2방향표지,203249.83,441459.87,/2006-11-08/WRC0122양재천길D/412.jpg,,,,,/2006-11-08/WRC0122양재천길D/413.jpg,,2018-04-30
WR(서울특별시 성북구)-[화랑로]-하-13,3방향표지,205020.9,456558.54,/2006-10-26/WRC0108화랑로D/화31(화랑로-31-근거리).jpg,,,,,/2006-10-26/WRC0108화랑로D/화31(화랑로-31-원거리).jpg,,2018-04-30
WR(서울특별시 성북구)-[화랑로]-하-14,3방향예고표지,205152.12,456624.88,/2006-10-26/WRC0108화랑로D/화33(화랑로-33-근거리).jpg,,,,,/2006-10-26/WRC0108화랑로D/화33(화랑로-33-원거리).jpg,,2018-04-30
UR(서울특별시)-88[올림픽대로]-하-90,교량표지,198163.94,444736.66,/2006-10-26/URC010088D/올림픽-179-근거리.jpg,,,,,/2006-10-26/URC010088D/올림픽-179-원거리.jpg,,2018-04-30
UR(서울특별시)-51[삼양로]-상-15,2지명이정표지,201885.55,457153.76,,,,,,/2006-10-27/URC010051U/65.jpg,,2018-04-30
WR(서울특별시 영등포구)-[여의나루로]-상-8,3방향표지,193279.59,446620.31,/2006-10-20/WRC0119여의동로이면도로U/sa501116.jpg,,,,,/2006-10-20/WRC0119여의동로이면도로U/sa501115.jpg,,2018-04-30
