Column1,지점명,위도,경도
276,방학역 앞 삼거리,37.6625796,127.0310631
277,정의여중입구교차로,37.6513066,127.0363154
278,우이교교차로,37.6368884,127.0364618
279,떡전교사거리,37.5856171,127.0514618
280,제기동주민센터 앞 교차로,37.5830644,127.0378921
281,경동시장사거리,37.577201,127.038104
282,신설동역사거리,37.5721057,127.0231122
283,배봉초 사거리,37.5801932,127.0661224
284,청량리역 교차로,37.5801177,127.0450459
285,용두역 사거리,37.577586,127.029998
286,장안동사거리,37.5723136,127.0716825
287,회기역 앞 교차로,37.58993,127.0575
288,시립동부병원앞교차로,37.57391,127.031042
289,청량리역 부근 삼거리,37.581381,127.048958
290,시조사삼거리,37.5882557,127.0537393
291,삼육보건대 사거리,37.588978,127.06571
292,휘경센트레빌 사거리,37.5910458,127.0684105
293,전농동사거리,37.5773682,127.057767
294,외대앞역 사거리,37.5907694,127.0561043
295,한국외국어대 앞 사거리,37.5907694,127.0561043
296,성바오로병원 교차로,37.5783265,127.0433815
297,용두동사거리,37.577701,127.0304641
298,제기동역 4번출구 앞,37.57802,127.03582
299,성바오로병원 교차로,37.5783265,127.0433815
300,청량리역 교차로,37.5801177,127.0450459
301,청량리역 교차로,37.5801177,127.0450459
302,경동시장사거리,37.577201,127.038104
303,경동시장사거리,37.577201,127.038104
304,장안동사거리,37.5723136,127.0716825
305,청량리역 교차로,37.5801177,127.0450459
306,신설동역사거리,37.5721057,127.0231122
307,청량리동주민센터 부근,37.5862281,127.0472678
308,상도역사거리,37.496104,126.936781
309,대림사거리,37.4888486,126.9062843
310,국립현충원 삼거리,37.5005944,126.9726349
311,신대방삼거리역,37.499717,126.928189
312,한강대교 남단 사거리,37.5175177,126.9588607
313,동작지하차도,37.5018483,126.98011
314,이수역 부근,37.486491,126.981876
315,노량진역 부근 삼거리,37.514082,126.941687
316,장승배기역사거리,37.504905,126.939191
317,노량진삼거리,37.5134851,126.9402247
318,서울공고 앞 사거리,37.5018245,126.9225543
319,성대시장 앞 삼거리,37.498295,126.92794
320,노량진삼거리,37.5134851,126.9402247
321,사당역사거리,37.4765181,126.9816384
322,대림삼거리,37.742741,128.896637
323,숭실대입구역 부근 사거리,37.496374,126.953504
325,중앙하이츠빌 부근,37.6583809,126.7677653
326,신대방삼거리역 부근,37.499717,126.928189
327,동작경희병원 장례식장,37.5025141,126.9358088
328,신대방삼거리역,37.499717,126.928189
329,한강대교 남단 사거리,37.5175177,126.9588607
330,신대방삼거리역,37.499717,126.928189
331,장승배기역사거리,37.504905,126.939191
332,한강대교 남단 사거리,37.5175177,126.9588607
333,상도역사거리,37.496104,126.936781
334,상도역사거리,37.496104,126.936781
335,합정역사거리,37.5483154,126.914823
336,공덕오거리,37.543096,126.95319
337,서교동사거리,37.5526465,126.9181702
338,신촌로타리,37.5551188,126.936835
339,서교푸르지오 부근,37.553754,126.923004
340,마포삼성 앞,37.540121,126.950528
341,홍대입구역,37.557527,126.9244669
342,월드컵경기장 사거리,37.569434,126.894875
343,KT&G상상마당 앞 사거리,37.550912,126.921127
344,마포역 부근,37.539705,126.94604
345,합정역사거리,37.5483154,126.914823
346,마포대교입구,37.5337975,126.9371138
347,마포대교입구,37.5337975,126.9371138
348,벨라스아파트 앞 사거리,37.0117465,127.266957
349,서교예술실험센터,37.5524522,126.9209199
350,동교동삼거리,37.558067,126.928544
351,동교동삼거리,37.558067,126.928544
352,홍대입구역,37.557527,126.9244669
353,양화대교북단 부근,37.5466885,126.9082106
354,양화대교북단 부근,37.5466885,126.9082106
355,서교동주민센터 부근,37.555147,126.914627
356,공덕오거리,37.543096,126.95319
357,현대백화점 신촌점 앞,37.5560361,126.9358269
358,월드컵경기장 사거리,37.569434,126.894875
359,합정역사거리,37.5483154,126.914823
360,마포우체국 부근,37.5431211,126.9498868
361,KT&G상상마당 부근,37.550912,126.921127
362,독립공원,37.5740613,126.9563603
363,홍은사거리,37.5913922,126.9414446
364,서대문구청 앞 사거리,37.578785,126.935862
365,교남동주민센터 부근,37.5718672,126.9619709
366,경기대입구 교차로,37.299739,127.029494
368,연희동 성당 부근,37.5635621,126.9295577
369,인왕아파트 앞 삼거리,37.5851709,126.9490552
370,연세대 앞,37.565784,126.938572
371,연희동 136-8번지 사거리,37.5668137,126.9311873
372,홍제3동주민센터 부근,37.5937254,126.9497493
373,연희동삼거리,37.5684782,126.9322239
374,연대 공학원 부근,37.5608403,126.9354738
375,연세대 재활학교 앞,37.562941,126.931915
376,홍제삼거리,37.5858869,126.9466493
377,홍제초 사거리,37.59243,126.941289
378,이대 경영관 부근,37.5618588,126.9468339
379,홍제역 삼거리,37.5858869,126.9466493
380,홍연2교 북단 교차로,37.5778104,126.9308627
381,홍은사거리,37.5913922,126.9414446
382,북가좌2동주민센터 부근,37.5814484,126.9111701
383,서대문역 앞 사거리,37.566713,126.965504
384,인왕시장 삼거리,37.5858869,126.9466493
385,홍제초 사거리,37.59243,126.941289
386,경기대입구 교차로,37.299739,127.029494
387,교남동주민센터 부근,37.5718672,126.9619709
388,트럭터미널 앞 사거리,37.507881,126.843776
390,이수교차로,37.4998209,126.9849707
391,강남귀금속타운 앞 사거리,37.504723,127.002073
392,고속터미널앞사거리,37.543485,126.741033
393,삼호가든사거리,37.5046818,127.0103848
394,양재I.C,37.4634929,127.0397164
395,호남선터미널 앞 사거리,37.504893,127.003216
396,교대입구삼거리,37.484918,127.01629
397,서초역 3번출구,37.49109,127.007754
398,서울성모병원교차로,37.5017688,127.0047906
399,논현역 부근 삼거리,37.511206,127.021728
400,서초초 부근 사거리,37.499988,127.0104405
401,신논현역 부근 사거리,37.504724,127.02538
402,대서울교대사거리,37.4877105,127.014109
403,반포I.C,37.5031266,127.018634
405,양재I.C,37.4634929,127.0397164
407,삼호가든사거리,37.5046818,127.0103848
408,강남귀금속타운 앞 사거리,37.504723,127.002073
410,트럭터미널 앞 사거리,37.507881,126.843776
411,호남선터미널 앞 사거리,37.504893,127.003216
413,고속터미널앞사거리,37.543485,126.741033
414,바람의언덕 출입구 앞,34.7446779,128.6631429
415,성동교 남단 교차로,37.5529821,127.0437691
416,도선사거리,37.5659526,127.0364638
417,왕십리역오거리,37.561949,127.038485
418,무학여고 앞 사거리,37.5585368,127.0335199
419,비우당교 남단 사거리,37.5707574,127.0266036
420,금호사거리,37.5480101,127.0257709
421,논골사거리,37.5556203,127.0247986
422,하왕십리치안센터 앞 사거리,37.5630917,127.031881
423,서울숲푸르지오 앞,37.5446327,127.0222629
424,성동구청 앞 삼거리,37.5630554,127.0367125
425,서울숲지구대 사거리,37.5380118,127.0522686
426,성수1치안센터,37.5396505,127.0511854
427,성수역 2번출구 사거리,37.54436,127.057378
428,바람의언덕 출입구 앞,34.7446779,128.6631429
429,삼성아파트 부근,36.3239433,127.4073235
430,마장역 1번출구 앞 삼거리,37.566127,127.042965
431,하왕십리치안센터 앞 사거리,37.5630917,127.031881
432,상왕십리역 2번출구 삼거리,37.5645,127.028872
433,왕십리역오거리,37.561949,127.038485
434,무학여고 앞 사거리,37.5585368,127.0335199
435,성동교 남단 교차로,37.5529821,127.0437691
436,바람의언덕 출입구 앞,34.7446779,128.6631429
437,성동교 남단 교차로,37.5529821,127.0437691
438,왕십리역오거리,37.561949,127.038485
439,왕십리역오거리,37.561949,127.038485
440,종암사거리,37.6032257,127.0322132
441,돈암1동주민센터 앞,37.6035174,127.0263659
442,돈암1동주민센터 부근,37.6035174,127.0263659
443,장위사거리,37.6128084,127.0607101
444,성북구청입구,37.5917546,127.0132154
445,성신여대입구역 사거리,37.5936255,127.018069
446,종암사거리,37.6032257,127.0322132
447,성북구 보건소 부근,37.6026426,127.0395181
448,경동고교입구,37.5861997,127.0146321
449,성신여대입구역 부근,37.59272,127.016544
450,아리랑고개입구,34.780303,126.3736605
451,성북구청 부근,37.589366,127.016743
452,정릉입구,37.604503,127.0117429
